Series id,Year,Period,Value
LNS14000000,1948-01-01,M01,3.4
LNS14000000,1948-01-02,M02,3.8
LNS14000000,1948-01-03,M03,4
LNS14000000,1948-01-04,M04,3.9
LNS14000000,1948-01-05,M05,3.5
LNS14000000,1948-01-06,M06,3.6
LNS14000000,1948-01-07,M07,3.6
LNS14000000,1948-01-08,M08,3.9
LNS14000000,1948-01-09,M09,3.8
LNS14000000,1948-01-10,M10,3.7
LNS14000000,1948-01-11,M11,3.8
LNS14000000,1948-01-12,M12,4
LNS14000000,1949-01-01,M01,4.3
LNS14000000,1949-01-02,M02,4.7
LNS14000000,1949-01-03,M03,5
LNS14000000,1949-01-04,M04,5.3
LNS14000000,1949-01-05,M05,6.1
LNS14000000,1949-01-06,M06,6.2
LNS14000000,1949-01-07,M07,6.7
LNS14000000,1949-01-08,M08,6.8
LNS14000000,1949-01-09,M09,6.6
LNS14000000,1949-01-10,M10,7.9
LNS14000000,1949-01-11,M11,6.4
LNS14000000,1949-01-12,M12,6.6
LNS14000000,1950-01-01,M01,6.5
LNS14000000,1950-01-02,M02,6.4
LNS14000000,1950-01-03,M03,6.3
LNS14000000,1950-01-04,M04,5.8
LNS14000000,1950-01-05,M05,5.5
LNS14000000,1950-01-06,M06,5.4
LNS14000000,1950-01-07,M07,5
LNS14000000,1950-01-08,M08,4.5
LNS14000000,1950-01-09,M09,4.4
LNS14000000,1950-01-10,M10,4.2
LNS14000000,1950-01-11,M11,4.2
LNS14000000,1950-01-12,M12,4.3
LNS14000000,1951-01-01,M01,3.7
LNS14000000,1951-01-02,M02,3.4
LNS14000000,1951-01-03,M03,3.4
LNS14000000,1951-01-04,M04,3.1
LNS14000000,1951-01-05,M05,3
LNS14000000,1951-01-06,M06,3.2
LNS14000000,1951-01-07,M07,3.1
LNS14000000,1951-01-08,M08,3.1
LNS14000000,1951-01-09,M09,3.3
LNS14000000,1951-01-10,M10,3.5
LNS14000000,1951-01-11,M11,3.5
LNS14000000,1951-01-12,M12,3.1
LNS14000000,1952-01-01,M01,3.2
LNS14000000,1952-01-02,M02,3.1
LNS14000000,1952-01-03,M03,2.9
LNS14000000,1952-01-04,M04,2.9
LNS14000000,1952-01-05,M05,3
LNS14000000,1952-01-06,M06,3
LNS14000000,1952-01-07,M07,3.2
LNS14000000,1952-01-08,M08,3.4
LNS14000000,1952-01-09,M09,3.1
LNS14000000,1952-01-10,M10,3
LNS14000000,1952-01-11,M11,2.8
LNS14000000,1952-01-12,M12,2.7
LNS14000000,1953-01-01,M01,2.9
LNS14000000,1953-01-02,M02,2.6
LNS14000000,1953-01-03,M03,2.6
LNS14000000,1953-01-04,M04,2.7
LNS14000000,1953-01-05,M05,2.5
LNS14000000,1953-01-06,M06,2.5
LNS14000000,1953-01-07,M07,2.6
LNS14000000,1953-01-08,M08,2.7
LNS14000000,1953-01-09,M09,2.9
LNS14000000,1953-01-10,M10,3.1
LNS14000000,1953-01-11,M11,3.5
LNS14000000,1953-01-12,M12,4.5
LNS14000000,1954-01-01,M01,4.9
LNS14000000,1954-01-02,M02,5.2
LNS14000000,1954-01-03,M03,5.7
LNS14000000,1954-01-04,M04,5.9
LNS14000000,1954-01-05,M05,5.9
LNS14000000,1954-01-06,M06,5.6
LNS14000000,1954-01-07,M07,5.8
LNS14000000,1954-01-08,M08,6
LNS14000000,1954-01-09,M09,6.1
LNS14000000,1954-01-10,M10,5.7
LNS14000000,1954-01-11,M11,5.3
LNS14000000,1954-01-12,M12,5
LNS14000000,1955-01-01,M01,4.9
LNS14000000,1955-01-02,M02,4.7
